Index,FileName,LinkInstanceName,LinkInstanceId,Position_X_Meters,Position_Y_Meters,Position_Z_Meters,Cardinal_Direction,Cardinal_Angle,Snapped_To_Cardinal,Rotation_From_WorldX_Degrees,Rotation_From_ProjectNorth_Degrees,Project_North_Angle,Primary_Forward_Vector_X,Primary_Forward_Vector_Y,Primary_Forward_Vector_Z,Scale_X,Scale_Y,Scale_Z,Is_Uniform_Scale,IsMirrored,Determinant,MirrorType,BasisX_Vector_X,BasisX_Vector_Y,BasisX_Vector_Z,BasisX_HorizontalAngle,BasisX_CardinalDirection,BasisX_CardinalAngle,BasisX_SnappedAngle,BasisY_Vector_X,BasisY_Vector_Y,BasisY_Vector_Z,BasisY_HorizontalAngle,BasisY_CardinalDirection,BasisY_CardinalAngle,BasisY_SnappedAngle,BasisZ_Vector_X,BasisZ_Vector_Y,BasisZ_Vector_Z,BasisZ_HorizontalAngle,BasisZ_CardinalDirection,BasisZ_CardinalAngle,BasisZ_SnappedAngle,NegBasisX_Vector_X,NegBasisX_Vector_Y,NegBasisX_Vector_Z,NegBasisX_HorizontalAngle,NegBasisX_CardinalDirection,NegBasisX_CardinalAngle,NegBasisX_SnappedAngle,NegBasisY_Vector_X,NegBasisY_Vector_Y,NegBasisY_Vector_Z,NegBasisY_HorizontalAngle,NegBasisY_CardinalDirection,NegBasisY_CardinalAngle,NegBasisY_SnappedAngle,Matrix_Origin_X,Matrix_Origin_Y,Matrix_Origin_Z,Matrix_BasisX_X,Matrix_BasisX_Y,Matrix_BasisX_Z,Matrix_BasisY_X,Matrix_BasisY_Y,Matrix_BasisY_Z,Matrix_BasisZ_X,Matrix_BasisZ_Y,Matrix_BasisZ_Z
95,AR_1BR_B,AR_1BR_B.rvt : 350 : location <Not Shared>,1320055,19.250001,-13.81,44.3,WEST,180.0,180.0,-180.0,101.8368,78.1632,-1.0,-0.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,19.250001,-13.81,44.3,0.0,-1.0,0.0,-1.0,-0.0,0.0,0.0,0.0,1.0
96,AR_2BR_B_1,AR_2BR_B_1.rvt : 351 : location <Not Shared>,1320056,17.400001,0.15,44.3,WEST,180.0,180.0,-180.0,101.8368,78.1632,-1.0,-0.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,17.400001,0.15,44.3,0.0,-1.0,0.0,-1.0,-0.0,0.0,0.0,0.0,1.0
97,AR_2BR_B_1,AR_2BR_B_1.rvt : 352 : location <Not Shared>,1320057,35.4,-36.85,44.3,EAST,0.0,0.0,0.0,281.8368,78.1632,1.0,0.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,35.4,-36.85,44.3,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
98,AR_3BR_A_1,AR_3BR_A_1.rvt : 353 : location <Not Shared>,1320058,17.4,-28.3,44.3,SOUTH,270.0,270.0,-90.0,191.8368,78.1632,0.0,-1.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,17.4,-28.3,44.3,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
99,AR_1BR_A_1,AR_1BR_A_1.rvt : 354 : location <Not Shared>,1320059,26.399999,-8.4,47.7,NORTH,90.0,90.0,90.0,11.836799,78.1632,0.0,1.0,0.0,1.0,1.0,1.0,True,False,1.0,NORMAL,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,26.399999,-8.4,47.7,1.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
100,AR_1BR_B,AR_1BR_B.rvt : 355 : location <Not Shared>,1320060,33.549999,-13.81,47.7,EAST,0.0,0.0,-0.0,281.836799,78.1632,1.0,-0.0,0.0,1.0,1.0,1.0,True,False,1.0,NORMAL,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,33.549999,-13.81,47.7,-0.0,-1.0,0.0,1.0,-0.0,0.0,0.0,0.0,1.0
101,AR_2BR_B_1,AR_2BR_B_1.rvt : 356 : location <Not Shared>,1320061,35.399999,0.15,47.7,EAST,0.0,0.0,-0.0,281.836799,78.1632,1.0,-0.0,0.0,1.0,1.0,1.0,True,False,1.0,NORMAL,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,35.399999,0.15,47.7,-0.0,-1.0,0.0,1.0,-0.0,0.0,0.0,0.0,1.0
102,AR_2BR_B_1,AR_2BR_B_1.rvt : 357 : location <Not Shared>,1320062,17.4,-36.85,47.7,WEST,180.0,180.0,180.0,101.836799,78.1632,-1.0,0.0,0.0,1.0,1.0,1.0,True,False,1.0,NORMAL,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,17.4,-36.85,47.7,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
103,AR_1BR_A_1,AR_1BR_A_1.rvt : 358 : location <Not Shared>,1320063,26.400001,-8.4,47.7,NORTH,90.0,90.0,90.0,11.8368,78.1632,-0.0,1.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,26.400001,-8.4,47.7,-1.0,-0.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0
104,AR_1BR_B,AR_1BR_B.rvt : 359 : location <Not Shared>,1320064,19.250001,-13.81,47.7,WEST,180.0,180.0,-180.0,101.8368,78.1632,-1.0,-0.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,19.250001,-13.81,47.7,0.0,-1.0,0.0,-1.0,-0.0,0.0,0.0,0.0,1.0
105,AR_2BR_B_1,AR_2BR_B_1.rvt : 360 : location <Not Shared>,1320065,17.400001,0.15,47.7,WEST,180.0,180.0,-180.0,101.8368,78.1632,-1.0,-0.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,17.400001,0.15,47.7,0.0,-1.0,0.0,-1.0,-0.0,0.0,0.0,0.0,1.0
106,AR_2BR_B_1,AR_2BR_B_1.rvt : 361 : location <Not Shared>,1320066,35.4,-36.85,47.7,EAST,0.0,0.0,0.0,281.8368,78.1632,1.0,0.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,35.4,-36.85,47.7,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
107,AR_3BR_A_1,AR_3BR_A_1.rvt : 362 : location <Not Shared>,1320067,17.4,-28.3,47.7,SOUTH,270.0,270.0,-90.0,191.8368,78.1632,0.0,-1.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,17.4,-28.3,47.7,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
108,AR_1BR_A_1,AR_1BR_A_1.rvt : 363 : location <Not Shared>,1320068,26.399999,-8.4,51.1,NORTH,90.0,90.0,90.0,11.836799,78.1632,0.0,1.0,0.0,1.0,1.0,1.0,True,False,1.0,NORMAL,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,26.399999,-8.4,51.1,1.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
109,AR_1BR_B,AR_1BR_B.rvt : 364 : location <Not Shared>,1320069,33.549999,-13.81,51.1,EAST,0.0,0.0,-0.0,281.836799,78.1632,1.0,-0.0,0.0,1.0,1.0,1.0,True,False,1.0,NORMAL,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,33.549999,-13.81,51.1,-0.0,-1.0,0.0,1.0,-0.0,0.0,0.0,0.0,1.0
110,AR_2BR_B_1,AR_2BR_B_1.rvt : 365 : location <Not Shared>,1320070,35.399999,0.15,51.1,EAST,0.0,0.0,-0.0,281.836799,78.1632,1.0,-0.0,0.0,1.0,1.0,1.0,True,False,1.0,NORMAL,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,35.399999,0.15,51.1,-0.0,-1.0,0.0,1.0,-0.0,0.0,0.0,0.0,1.0
111,AR_2BR_B_1,AR_2BR_B_1.rvt : 366 : location <Not Shared>,1320071,17.4,-36.85,51.1,WEST,180.0,180.0,180.0,101.836799,78.1632,-1.0,0.0,0.0,1.0,1.0,1.0,True,False,1.0,NORMAL,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,17.4,-36.85,51.1,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0
112,AR_1BR_A_1,AR_1BR_A_1.rvt : 367 : location <Not Shared>,1320072,26.400001,-8.4,51.1,NORTH,90.0,90.0,90.0,11.8368,78.1632,-0.0,1.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,26.400001,-8.4,51.1,-1.0,-0.0,0.0,-0.0,1.0,0.0,0.0,0.0,1.0
113,AR_1BR_B,AR_1BR_B.rvt : 369 : location <Not Shared>,1320073,19.250001,-13.81,51.1,WEST,180.0,180.0,-180.0,101.8368,78.1632,-1.0,-0.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,19.250001,-13.81,51.1,0.0,-1.0,0.0,-1.0,-0.0,0.0,0.0,0.0,1.0
114,AR_2BR_B_1,AR_2BR_B_1.rvt : 370 : location <Not Shared>,1320074,17.400001,0.15,51.1,WEST,180.0,180.0,-180.0,101.8368,78.1632,-1.0,-0.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,17.400001,0.15,51.1,0.0,-1.0,0.0,-1.0,-0.0,0.0,0.0,0.0,1.0
115,AR_2BR_B_1,AR_2BR_B_1.rvt : 371 : location <Not Shared>,1320075,35.4,-36.85,51.1,EAST,0.0,0.0,0.0,281.8368,78.1632,1.0,0.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,35.4,-36.85,51.1,-0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
116,AR_3BR_A_1,AR_3BR_A_1.rvt : 372 : location <Not Shared>,1320076,17.4,-28.3,51.1,SOUTH,270.0,270.0,-90.0,191.8368,78.1632,0.0,-1.0,0.0,1.0,1.0,1.0,True,True,-1.0,MIRROR,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,17.4,-28.3,51.1,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
117,AR_1BR_A_1,AR_1BR_A_1.rvt : 377 : location <Not Shared>,1320077,26.399999,-8.4,54.5,NORTH,90.0,90.0,90.0,11.836799,78.1632,0.0,1.0,0.0,1.0,1.0,1.0,True,False,1.0,NORMAL,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,26.399999,-8.4,54.5,1.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
